,,,,,[ Item Enhancement Result ]

,,,,,( Average of Max Enhancement )
,,,,Normal,Magic,Hero,Legend,Myth
,,,,5.552,9.252,19.478,40.448,137.672

,,,,,Number of Each Trial: 500

,,,,,( Sum of Trials )
,,,,Normal,Magic,Hero,Legend,Myth
,,,,2776,4626,9739,20224,68836

,,,,,( Average of failbonus )
,,,,Normal,Magic,Hero,Legend,Myth
,,,,0.49711815%,0.97362727%,0.9732005%,0.94373024%,0.42736357%

,,,Trials Log,,,,,,,Failure Log
,Normal,Magic,Hero,Legend,Myth,,,Normal,Magic,Hero,Legend,Myth
1st,6,9,13,44,148,,1st,1,2,3,29,128
2nd,6,7,19,42,142,,2nd,1,0,9,27,122
3rd,5,8,15,40,151,,3rd,0,1,5,25,131
4th,6,8,14,35,107,,4th,1,1,4,20,87
5th,5,9,19,33,139,,5th,0,2,9,18,119
6th,6,10,23,43,122,,6th,1,3,13,28,102
7th,5,9,25,36,188,,7th,0,2,15,21,168
8th,5,8,19,33,145,,8th,0,1,9,18,125
9th,6,10,19,34,135,,9th,1,3,9,19,115
10th,7,9,18,43,138,,10th,2,2,8,28,118
11th,5,10,25,43,164,,11th,0,3,15,28,144
12th,6,10,17,42,177,,12th,1,3,7,27,157
13th,6,9,21,53,104,,13th,1,2,11,38,84
14th,5,8,19,45,149,,14th,0,1,9,30,129
15th,6,10,22,26,175,,15th,1,3,12,11,155
16th,6,9,16,46,134,,16th,1,2,6,31,114
17th,6,7,22,39,109,,17th,1,0,12,24,89
18th,7,7,14,38,187,,18th,2,0,4,23,167
19th,6,10,21,37,158,,19th,1,3,11,22,138
20th,5,11,18,34,137,,20th,0,4,8,19,117
21st,7,11,16,49,92,,21st,2,4,6,34,72
22nd,5,8,23,41,161,,22nd,0,1,13,26,141
23rd,5,10,13,46,162,,23rd,0,3,3,31,142
24th,5,9,18,36,122,,24th,0,2,8,21,102
25th,5,8,19,27,129,,25th,0,1,9,12,109
26th,5,8,21,60,100,,26th,0,1,11,45,80
27th,5,9,21,35,149,,27th,0,2,11,20,129
28th,5,9,30,50,159,,28th,0,2,20,35,139
29th,5,9,17,26,209,,29th,0,2,7,11,189
30th,6,11,18,37,121,,30th,1,4,8,22,101
31st,5,7,18,55,141,,31st,0,0,8,40,121
32nd,5,13,20,27,144,,32nd,0,6,10,12,124
33rd,5,7,16,51,147,,33rd,0,0,6,36,127
34th,5,8,15,34,144,,34th,0,1,5,19,124
35th,5,8,22,39,95,,35th,0,1,12,24,75
36th,8,8,16,49,162,,36th,3,1,6,34,142
37th,6,9,20,42,107,,37th,1,2,10,27,87
38th,6,9,17,32,131,,38th,1,2,7,17,111
39th,5,10,26,63,105,,39th,0,3,16,48,85
40th,6,7,17,41,120,,40th,1,0,7,26,100
41st,6,9,14,37,152,,41st,1,2,4,22,132
42nd,5,8,18,41,130,,42nd,0,1,8,26,110
43rd,5,12,16,50,129,,43rd,0,5,6,35,109
44th,8,7,14,33,152,,44th,3,0,4,18,132
45th,5,8,19,37,134,,45th,0,1,9,22,114
46th,6,10,21,32,132,,46th,1,3,11,17,112
47th,6,10,18,48,154,,47th,1,3,8,33,134
48th,7,10,18,30,164,,48th,2,3,8,15,144
49th,5,9,20,40,157,,49th,0,2,10,25,137
